"",Dealer Name,Mailing & Business Address,City,County,Zip
50407,1237,1237 Elk Forest Road,Elkton,Cecil,21921
66813,"2 A Sales & Supplies, LLC",8610 Washington Blvd. #209,Jessup,Howard,20794
75121,2nd Generation Firearms,7735 Fairplay Rd,Boonsboro,Washington,21713
9421,3 R Gun Shop,13255 Herman Meyers Rd,Hagerstown,Washington,21742
39116,A-1 Pawnbrokers #1,4938 Edgewood Rd,College Park,Prince George's,20740
54702,A-1 Pawnbrokers #3,3527 Fort Meade Rd,Laurel,Anne Arundel,20724
42202,"A&D Pawn Shop, Inc.",706 N. Crain Hwy Suite 2,Glen Burnie,Anne Arundel,21061
74216,A1 Uniform Sales Co,4010 Volta Ave,Brentwood,Prince George's,20722
74515,Accuracy Clinic,PO Box 298,Poolesville,Montgomery,20837
73602,Accuracy Unlimited Custom Guns,213 Kathy Ct,Severna Park,Anne Arundel,21146
64918,"Accurate Guns & Ammo, LLC",28650 Point Lookout Road,Leonardtown,St. Mary's,20650
34713,Accurate Pawn & Tackle,6653 Washington Blvd,Elkridge,Howard,21075
77307,Ace Hardware,23 W. Main St PO Box 364,Rising Sun,Cecil,21911
44520,Albright's Gun Shop,36 Dover St,Easton,Talbot,21601
37803,"Alex Cooper Auctioneers, Inc.",908 York Rd,Towson,Baltimore County,21204
82522,Allen & Marshall Auctioneers & Appraisers,8000 Esham Rd.,Parsonsburg,Wicomico,21849
88407,Alpha and Omega Gunsmithing,106 Newark Ave,Elkton,Cecil,21921
88315,AM Shooting,13939 Lullaby Rd,Germantown,Montgomery,20874
58506,American Gun and Archey Outlet,PO Box 3926/5423 Ridge Rd Mt Airy,Frederick,Carroll,21771
9102,Anglers Sport Center,1456 Whitehall Rd,Annapolis,Anne Arundel,21401
79108,"AnnieGetUrGun, Inc",21 Industrial Park Dr Suite 201 E,Waldorf,Charles,20602
65321,Antietam Firearms,35 W. Baltimore Street,Funkstown,Washington,21734
74606,Anvil Mountain Firearms,4501 Turkeyfoot Rd,Westminster,Carroll,21158
16816,Arms International,6501 Yochelson Place,Clinton,Prince George's,20735
71206,Arms of Liberty,852 Mayfair Way,Eldersburg,Carroll,21784
84802,Army Air Force Exchange Service,2799 Rose Street,Ft. Meade,Anne Arundel,20755
85110,"Artillery Lab /DBA: LAB Enterprises, LLC.",43 Boileau Ct.,Middletown,Frederick,21769
4702,"Arundel Firearms & Pawn, Inc.",7427 B & A Blvd,Glen Burnie,Anne Arundel,21061
57023,"Atlantic Firearms, LLC",10337 Bunting Road,Bishopville,Worcester,21813
7515,"Atlantic Guns, Inc.",601 Hungerford Dr,Rockville,Montgomery,20850
7615,"Atlantic Guns, Inc.",944 Bonifant St,Silver Spring,Montgomery,20910
76917,"Atlantic Hurricane, INC",820 Stagwell Rd,Queenstown,Queen Anne's,21658
60512,Badgersmith Gunworks,1002 Wakely Circle,Belair,Harford,21014
92108,"Bad Wolf Industries, Inc",3055 Old Washington Rd.,Waldorf,Charles,20601
27721,Baker's Gun House,927 South Potomac St,Hagerstown,Washington,21740
58106,Baltimore's Best Pawn,2977 Baltimore Boulevard,Finksburg,Carroll,21048
57402,Bass Pro Shops Outdoors,7000 Arundel Mills Circle,Hanover,Anne Arundel,21076
72904,"Bay Area Fireams, LLC",8909 Chesapeake Ave PO Box 345,North Beach,Calvert,20714
76804,"Bayside Firearms, LLC",1955 B Division Lane,Saint Leonard,Calvert,20685
91212,"Bel Air Gun Range, Inc.",2137 N. Fountain Green Rd.,Bel AIr,Harford,21015
6316,Beltsville Sport Center,11174 Baltimore Blvd,Beltsville,Prince George's,20705
