Dealer Name,County,Mailing & Business Address,City,count
Schicksales,Charles,10595 Middleport Lane,White Plains,162
Free State Gun Range,Baltimore County,11500 Crossroads Cir,Middle River,147
United Gun Shop,Montgomery,5465 Randolph Rd,Rockville,136
"2 A Sales & Supplies, LLC",Howard,8610 Washington Blvd. #209,Jessup,115
"Fox's Firearms, LLC",Howard,9190 Red Branch Rd Suite F,Columbia,101
"Atlantic Guns, Inc.",Montgomery,944 Bonifant St,Silver Spring,91
Job Smart Inc. DBA Gym Ratz Nutrition,St. Mary's,28943 Three Notch Rd Ste 3,Mechanicsville,86
"Gun Connection, LLC",Baltimore County,"11433 Pulaski Hwy., Unit 3",White Marsh,84
Baltimore's Best Pawn,Carroll,2977 Baltimore Boulevard,Finksburg,80
Fred's Outdoors,Charles,2895 Crain Highway,Waldorf,73
The Machine Gun Nest,Frederick,7910 Reich's Ford Road,Frederick,73
Blue Fins Group,Baltimore County,701 Wise Ave,Baltimore,69
Continental Arms,Baltimore County,9603 Deereco Road,Timonium,63
Bollinger Gunsmithing & Sales LLC,Carroll,4485 Piney Creek Rd,Taneytown,61
"Worth A Shot, Inc.",Anne Arundel,1223 Daves Rd,Edgewater,60
"Hafers Gunsmithing, Inc.",Washington,15411 National Pike,Hagerstown,56
Engage Armament LLC,Montgomery,701 E. Gude Dr Suite 101,Rockville,54
Shooters Supply,Worcester,9234 Old Ocean City Rd,Berlin,52
Maryland Small Arms Range,Prince George's,9801 Fallard Ct,Upper Marlboro,51
J. Lowes Guns,Cecil,543 Kirks Mill Ln,North East,50
"Jones Securities, LLC",Anne Arundel,8009 Jumpers Hole Rd Ste H,Pasadena,48
The Gun Shop,Baltimore County,1614 Eastern Blvd,Baltimore,48
Tyler Firearms/Arimus Tactical,Baltimore,"4367 Hollins Ferry Rd, suite 2C",Halethorpe,46
Hanover Armory,Anne Arundel,1327 Ashton Rd Suite 5,Hanover,40
Cooter's Classic Firearms,Harford,102 Industry Lane,Forest Hill,37
Scott's Gunsmithing Service,Anne Arundel,231 Thelma Ave,Glen Burnie,36
Top Gun Firearms,Harford,2800 Belair Rd.,Fallston,33
Skeeters,Washington,2 E. Water St. PO Box 184,Smithsburg,32
"A&D Pawn Shop, Inc.",Anne Arundel,706 N. Crain Hwy Suite 2,Glen Burnie,29
Rick's Guns and Pawn,Cecil,536 Rowlandsville Road,Conowingo,29
"J&K Associates, Inc.",Harford,2145 Pulaski Highway,Havre De Grace,27
Protective Services Academy,Prince George's,6101 Fallard Dr,Upper Marlboro,27
TK Defense,Montgomery,18 Cessna Court,Gaithersburg,27
South Mountain Arms,Washington,87 S. Main St,Keedysville,24
"Clyde's Sport Shop, Inc.",Baltimore County,2307 Hammonds Ferry Road,Lansdowne,23
"Lock Stock and Barrel, LLC",Carroll,76 Frederick Street,Taneytown,23
The Bank Gun and Pawn,Harford,323 St. John St,Havre de Grace,23
The GunfatherLLC,Caroline,225 Market Street,Denton,23
The Gun Center,Frederick,1713 Rosemont Ave,Frederick,22
Kendall Firearms,Wicomico,5881 Polk Ln,Parsonburg,21
Three Guys Guns and Outdoors,Allegany,16901 Cherry Branch Place,Oldtown,21
Accurate Pawn & Tackle,Howard,6653 Washington Blvd,Elkridge,20
Eakle Firearms Inc.,Howard,3275 Bethany Lane Suite 200,Ellicott City,20
Clear Spring Gun Shop,Washington,14036 National Pike,Clear Spring,19
Hendershot's Sporting Goods,Washington,1982 National Pike,Hagerstown,19
Retic Arms,Frederick,3035 Basford Road,Frederick,19
Gunrunners,Frederick,47 E. Patrick St. #2,Frederick,18
South Carroll Sporting Goods,Carroll,7737 Woodbine Rd,Woodbine,18
Antietam Firearms,Washington,35 W. Baltimore Street,Funkstown,17
Pasadena Arms,Anne Arundel,2441A Mountain Rd,Pasadena,17
"Gun Shack, Inc.",Carroll,101 S Main St PO Box 73,Mt. Airy,16
Best Pawn Inc.,Prince George's,6609 Riverdale Rd,Riverdale,15
A1 Uniform Sales Co,Prince George's,4010 Volta Ave,Brentwood,14
Chesapeake Guns,Queen Anne's,208 Island Plaza Ct,Stevensville,14
"On Target, Inc",Anne Arundel,2618 Annapolis Road,Severn,14
Cromwell's Firearms,St. Mary's,21591 Harrison St,Great Mills,13
"Horst & McCann, Inc.",Harford,2137 N. Fountain Green Rd,Bel Air,13
JRG Wholesale,Harford,1831 Midsummer Ln,Jarrettsville,13
Webster Waffen Werks,Wicomico,7815 Parsonsburg Rd,Parsonburg,13
Chuck's Firearms,St. Mary's,45589 Legerton Ln,Lexington Park,12
"Duffy's, Inc.",Baltimore County,15433 Falls Road,Sparks,12
Joly Enterprises,Anne Arundel,2914 Mountain Rd,Pasadena,12
Southern Maryland Pawn Brokers,Charles,2224 Crain Hwy,Waldorf,12
Bowman Gun Shop,Harford,3322 Cedar Church Rd,Darlington,11
Edwin Bramble,Dorchester,1614 Taylors Island Rd,Woolford,11
Haze Line Guns,Prince George's,11295 Laurel Walk Dr,Laurel,11
Ron's Bay Pro Shop,Calvert,2819 Chesapeake Beach Rd,Dunkirk,11
Benchtop Gunsmithing,Cecil,41 Naylor Blue Court,Port Despoit,10
J & S Pawn,Allegany,133 East Main St.,Frostburg,10
Zink Arms,Baltimore,9506 Belair Road,Nottingham,10
Free State Firearm Services,Cecil,41 Chesters Way,Elkton,9
S&J Arms Company,Carroll,7512 Main Street,Sykesville,9
Black Anchor Armory,Caroline,211 Market Street,Denton,8
Raymond Willnecker,Harford,1820 Harewood Rd,Edgewood,8
Shooting Ventures,Frederick,11404 Archer Circle,Monrovia,8
Shuppie's Gun Shop,Washington,12313 Forrest Hill Road,Clear Spring,8
TRM Traders,Wicomico,1708 South Mill Dr.,Salisbury,8
Keystone Sporting Goods,Washington,13611 Pennsylvania Ave.,Hagerstown,7
Murray's Ordnance Armory,Prince George's,"Baltimore Avenue, Unit 4",Beltsville,7
Sang Run Sports Shop,Garrett,113 Henry Clay Dr.,Oakland,7
Talbot Arms,Talbot,9461 New Rd,McDaniel,7
The Tackle Box,St. Mary's,22035 Three Notch Rd,Lexington Park,7
Wink's Sporting Goods,Somerset,12122 Carol Lane #A,Princess Anne,7
3 R Gun Shop,Washington,13255 Herman Meyers Rd,Hagerstown,6
"Accurate Guns & Ammo, LLC",St. Mary's,28650 Point Lookout Road,Leonardtown,6
Bass Pro Shops Outdoors,Anne Arundel,7000 Arundel Mills Circle,Hanover,6
"Big Dog's Gun Supplies, LLC",Carroll,3503 Hooper Rd,New Windsor,6
"ELTS Consulting, LLC",St. Mary's,48372 Sunburst Dr,Lexington Park,6
