Model,Make,count
PAPM92PV,Zastava Arms,126
Draco,Romarm (Century Arms Int.),32
C 39,"Century Arms, International",27
Sporter (M214 Nano),"I. O., Inc.",25
Tokarev,Zastava Arms (C.A.I.),20
PAPM92PV,"Zastava Arms (Blackheart International, LLC)",17
PAP M85 NP,Zastava Arms (C.A.I.),16
Bren  805 PS1,CZ USA,11
Galil Ace SAR,Israel Weapons Industries (I.W.I.),10
M400 11B,Sig Sauer/Sigarms Inc.,10
PLR-16,Kel-Tec,9
MCX,Sig Sauer/Sigarms Inc.,8
Ortgies,Deutsche Werke,7
DB-15,Diamondback Firearms,6
E4,Engage Armament LLC,5
RAS 47 Pistol (Draco),"Century Arms, International",5
ST15,Spikes Tactical,5
M6 PSD Pistol,LWRC International,4
Sam 7K,Arsenal (Bulgaria),4
SLR,"Arsenal, USA",4
WW-15,Windham Weaponry,4
1895,nagant,3
1914,Mauser,3
52,CZ,3
52,CZ USA,3
Contender,Thompson Center Arms,3
ddm4,Daniel Defense,3
Defender,Masterpiece Arms,3
HA-15,Hanover Armory,3
M6,LWRC,3
P-556 XI,Sig Sauer/Sigarms Inc.,3
P516,Sig Sauer/Sigarms Inc.,3
P556,Sig Sauer/Sigarms Inc.,3
RF-15,Radical Firearms,3
RFT-15,Radical Firearms,3
Tokarev,"Century Arms, International",3
WW-PS,Windham Weaponry,3
Z 43 P,MKE (Zenith Firearms),3
27,CZ,2
516,Sig Sauer,2
52,BRNO or CZ,2
BFR,Magnum Research,2
CZ52,CZ,2
FAL,"DSA, Inc",2
LAR-PDS,Rock River Arms Inc.,2
M4 Carbine,Colt,2
M4 Carbine,Colt Manufacturing,2
M4 Carbine,"Daniel Defense, Inc.",2
PAPM92PV,Zastava Arms (C.A.I.),2
RPG Pistol,RPG Aero,2
Sam 7K,"Arsenal, USA",2
SAR-XV PREPR Mod 2,Sterling Arsenal,2
SG 751-P SAPR,SAN (Swiss Arms) (JDI Firearms),2
TT-C,"Century Arms, International",2
TT-C,Cugir,2
VZ.58 Sporter,Czech Small Arms (CSA),2
1895,CAI,1
1895,Russia,1
1895,russia cai,1
1895,Russian / CAI,1
1900,FN Herstal,1
1907,Dreyse,1
1916,Astra,1
1922,FN,1
1922,FN Herstal,1
1930 Pistol,JP Sauer & Sohn,1
1934,A G Oberndorf,1
1934,Mauser,1
1935A,SACM,1
1935S,MAC/MAS,1
1935S,NATIONALE D'ARMES DEcHATELLERULT,1
1938h,Sauer,1
1952,C.i.a,1
3,Stag Arms,1
38 H,Sauer & Shon,1
38H,J.P. Sauer,1
509,FN American LLC,1
516,Sig Sauer/Sigarms Inc.,1
54-1,"KSI, China",1
6920MPS-B,Colt,1
70,Beretta USA,1
70,BRNO or CZ,1
ALB,CAI,1
AP66,Hege,1
AP765,F.E.G.,1
Bren s1,CZ USA,1
C39,Century Arms,1
Carbon 15 (Military and Law Enforcement sales only),Bushmaster,1
CZ 52,PW Arms,1
CZ50,CZ,1
CZ52,"Century Arms, International",1
CZ52,Czech CAI,1
CZ70,Interarms,1
DD M4,Daniel Defense,1
DDMK18,Daniel Defense,1
DDMK18,"Daniel Defense, Inc.",1
DEFENDER 2000,LMT,1
DMW Commercial,Luger,1
Draco,"Century Arms, International",1
DWM,Luger,1
Encore,Thompson Center Arms,1
Five-Seven,FN Herstal,1
H,Star,1
HSC,Mauser,1
LAR-PPS,Rock River,1
LAR-PPS,Rock River Arms Inc.,1
LE,Colt,1
Lone Eagle,Magnum Research,1
Low 15,"Surplus Ammo & Arms, LLC",1
Luger,DWM,1
Luger,Luger,1
Luger,swiss luger,1
M-57,Yugo Zastava,1
M-57,Zastava Arms,1
M&P 15,Smith & Wesson,1
M1895,R Guns,1
M1913,JP Sauer & Sohn,1
M4,Colt,1
M4,Colt Defense,1
M4,Colt manufacturing co,1
M4,"Colt/Colts Mfg. Co., Inc.",1
M4 Carbine,Daniel Defense,1
M6,LWRCI,1
M6IC,LWRC International,1
Mann,Mann-Werke,1
Mauser,Waffenfabrik,1
MG-G4,Mag Tactical,1
mini draco,"Century Arms, International",1
MK47,CMMG INC,1
ML70,CZ USA,1
Modele 1935s,Sagem,1
mpw,advanced armament corp,1
N 4,Noveske Rifleworks LLC,1
Nagant,Russian,1
Nagant,Russian miltary,1
nagant 1895,Russian,1
NDS-1,NODAK,1
NDS-1,Nodak Spud LLC,1
Omni Hybrid,American Tactical,1
P-08 LUGER,Swiss,1
P64,"Century Arms, International",1
pap,Zastava Arms (C.A.I.),1
pap m92 pv,"Century Arms, International",1
pap m92pv,"Century Arms, International",1
PAPM92,Zastava Arms (C.A.I.),1
PAPM92PV,"Century Arms, International",1
pistol,American Tactical,1
Pocket Pistol,ortgies,1
PP,Walther,1
PPK,Walther,1
PPS,Rock River Arms,1
PPS 43-C,Pioneer Arms Corporation,1
ras47,"Century Arms, International",1
Rid,CZ USA,1
semi auto,Peiper Baynard,1
SG 553 Pistol,Sig Sauer/Sigarms Inc.,1
SLR 107FR,Arsenal INC,1
SLR-104UR,Arsenal,1
SLR-104UR,Arsenal (Bulgaria),1
SLR107UR,Arsenal,1
Stock,Franz Stock,1
Thor,Global Defense,1
Tokarev,Chinese,1
Tokarev,CRC,1
Tokarev,Polish,1
Tokarev,Romanian,1
Tokarev,Russian,1
Tokarev,Tokarev,1
Tokarev 54-1,Norinco,1
TT-C,CAI,1
TT-C,PW Arms,1
TT-C,Romainian,1
TT-C,Romanian,1
WASR-10,Century Arms,1
WW-15,windham weaponry inc,1
XP100,"Remington Arms Co., Inc.",1
