Dealer Name,Application Number,Make,Model,Model Number,Caliber,Finish,Barrel Length (inches),Weapon Transfer Date
"Worth A Shot, Inc.",2017001729,PSA,PA-15,PA-15,NULL,Blue,NULL,1/6/17
Haze Line Guns,2017001589,Sig Sauer/Sigarms Inc.,P320,Sub Compact (P320SC),9,Blue,3.60,1/7/17
Bass Pro Shops Outdoors,2017000168,Sturm Ruger,SP101,5719,357,Stainless steel,2.50,1/8/17
Bass Pro Shops Outdoors,2017000178,Springfield Armory/Inc.,XD,Compact,40,Stainless steel,3.00,1/8/17
Gander Mountain,2017000173,Glock,19,19 Gen 4,9,Blue,4.00,1/8/17
"Clyde's Sport Shop, Inc.",2017000125,Sturm Ruger,Mark IV,Hunter,22,Stainless steel,6.78,1/8/17
Hollywood Tactical Firearms,2017000012,Sturm Ruger,LCP,3749,380,Blue,2.75,1/8/17
Hollywood Tactical Firearms,2017000012,Springfield Armory/Inc.,XD-S,"4"" Model",45,Blue,4.00,1/8/17
Hollywood Tactical Firearms,2017000012,Glock,42,N/A,380,Blue,3.25,1/8/17
Hollywood Tactical Firearms,2017000012,Glock,43,N/A,9,Blue,3.39,1/8/17
Hollywood Tactical Firearms,2017000012,Glock,17,17,9,Blue,4.48,1/8/17
"Lock Stock and Barrel, LLC",2017000134,Smith & Wesson,10,N/A,38,Blue,4.00,1/9/17
Free State Gun Range,2017000228,Sturm Ruger,LC9,PRO,9,Parkerized,3.12,1/9/17
"How Sweet It Is, Inc",2017000852,Ruger,22/45,3906,0,Nickel,4.00,1/10/17
"How Sweet It Is, Inc",2017000852,Glock,42,N/A,380,Parkerized,3.00,1/10/17
Job Smart Inc. DBA Gym Ratz Nutrition,2017000566,Sig Sauer/Sigarms Inc.,P226,P226,40,Blue,4.40,1/10/17
Time Off Charters,2017000282,Sig Sauer/Sigarms Inc.,P250,P250C,40,Other,3.90,1/10/17
Klej Garage Firearms,2017000560,Glock,20,20 Gen4,10,Blue,4.60,1/10/17
Ingleside Outdoors,2017000395,Sig Sauer/Sigarms Inc.,1911,1911,45,Parkerized,4.20,1/10/17
Free State Gun Range,2017000901,Smith & Wesson,M&P 45,Shield,45,Blue,3.38,1/10/17
Bass Pro Shops Outdoors,2017000808,Sturm Ruger,SR22,3600,22,Blue,3.50,1/10/17
Bass Pro Shops Outdoors,2017000828,Springfield Armory/Inc.,XD,Tactical,9,Blue,5.00,1/10/17
Schicksales,2017000083,Sig Sauer/Sigarms Inc.,P320,P320,9,Other,4.00,1/10/17
Schicksales,2017000083,Smith & Wesson,M&P 45,Shield,45,Blue,3.38,1/10/17
The Cop Shop,2017000857,Glock,19,19 RTF-2,9,Blue,4.01,1/10/17
