dist_case_num,circ_case_num
6B02024392,109245020
6B02024392,109245021
1B02152172,112012039
1B02152172,112012040
3B02137775,211307017
3B02137775,211307018
3B02137775,211307019
3B02137775,211307020
3B02137775,211307021
3B02137775,211307022
3B02137775,211307023
3B02148142,512009009
3B02148142,512009010
5B02144413,211342008
5B02144413,211342009
6B02183558,112270010
6B02183558,112270012
1B02227429,113197021
1B02227429,113197022
2B02213682,113080022
2B02213682,113080023
2B02216790,113107024
2B02216790,113107025
2B02216790,113107026
3B02210470,113080030
3B02210470,113080031
3B02210470,113080032
3B02210470,113080033
5B02208029,113044010
5B02208029,113044011
5B02216660,113107028
5B02216660,113107029
4B02240872,113303014
4B02240872,113303015
2B02283654,114349040
2B02283654,114349041
2B02283654,114349042
2B02283766,114349034
2B02283766,114349035
2B02283766,114349036
3B02266442,114162006
3B02266442,114162007
6B02283560,114349037
6B02283560,114349038
6B02283560,114349039
0B01961057,108211006
0B01961057,108211008
5B02013065,109162020
5B02013065,109162021
5B02013065,109162022
6B02019366,109189017
6B02019366,109189018
0B02052239,110032026
0B02052239,110032027
5B01952305,108169013
5B01952305,108169014
0B01945713,108185035
0B01945713,108185036
0B01945713,108185037
1B01961065,108217006
1B01961065,108217009
1B01987574,108340022
1B01987574,108340023
2B01955935,108199007
2B01955935,108199009
6B01963506,108221026
6B01963506,108221027
6B01963506,108221028
6B01963506,108221029
6B01963513,108221027
6B01963513,108221028
6B01963513,108221029
6B01963513,108221030
2B02015218,109160045
2B02015218,109160046
3B02002199,109076016
3B02002199,109076018
0B02037868,109313021
0B02037868,109313025
1B02012676,109155033
1B02012676,109155035
1B02037869,109313022
1B02037869,109313026
1B02038044,109313018
1B02038044,109313023
2B02046207,109349006
2B02046207,109349008
2B02046760,109363031
2B02046760,109363032
5B02015361,109155034
5B02015361,109155036
6B02002293,109076020
6B02002293,109076022
6B02038490,109313019
6B02038490,109313024
6B02045924,109349005
6B02045924,109349007
0B02085545,110245026
0B02085545,110245027
0B02094701,110316022
0B02094701,110316023
1B02085469,110232010
1B02085469,110232011
1B02085469,110232012
1B02091216,110309047
1B02091216,110309048
1B02091216,110309049
2B02068852,110161037
2B02068852,110161038
4B02090820,110281038
4B02090820,110281040
5B02094727,110327036
5B02094727,110327037
6B02094119,110307006
6B02094119,110307008
0B02121602,111167017
0B02121602,111167018
4B02121648,111167019
4B02121648,111167020
4B02148213,111346017
4B02148213,111346018
1B02132201,111245024
1B02132201,111245025
1B02132201,111245026
2B02115080,111116004
2B02115080,111116005
2B02144410,111308020
2B02144410,111308021
2B02144410,111308022
3B02146679,211361002
3B02146679,211361003
4B02152378,112023013
4B02152378,112023014
5B02146758,211361004
5B02146758,211361005
6B02130246,511237002
6B02130246,511237003
6B02146101,111312021
6B02146101,111312022
6B02146101,111312023
6B02146101,111321021
6B02146101,111321022
6B02146101,111321023
6B02146724,211361006
6B02146724,211361007
6B02152142,112004004
6B02152142,112004005
2B02175175,112185053
2B02175175,112185054
3B02153224,112026019
3B02153224,112026020
3B02175498,112185055
3B02175498,112185056
0B02241295,113312014
0B02241295,113312015
0B02245194,113336023
0B02245194,113336024
1B02242850,113329081
1B02242850,113329082
2B02241297,113312016
2B02241297,113312017
5B02228910,113211014
5B02228910,113211015
5B02245570,113330016
5B02245570,113330017
5B02245570,113330018
6B02240531,113301016
6B02240531,113301017
6B02245193,113338025
6B02245193,113338026
6B02245298,113330013
6B02245298,113330014
6B02245298,113330015
4B02270384,114230007
4B02270384,114230008
1B02250935,114035014
1B02250935,114035015
1B02250935,114035016
1B02252258,114042024
1B02252258,114042025
2B02262437,114129032
2B02262437,114129033
3B02252225,114042022
3B02252225,114042023
1B01928984,108098002
1B01928984,108098004
4B01921490,108052036
4B01921490,108052038
6B01945292,209041013
6B01945292,209041014
1B01946855,108317056
1B01946855,108317057
1B01965986,108248006
1B01965986,108248007
1B01977032,108270032
1B01977032,108270033
2B01988037,108322033
2B01988037,108322034
5B01949806,108137005
5B01949806,108137007
6B01973327,108263054
6B01973327,108263055
0B01940820,108098003
0B01940820,108098005
3B02015681,109167010
3B02015681,109167012
4B02011041,109110006
4B02011041,109110007
2B02008736,109111015
2B02008736,109111018
2B02012026,109147012
2B02012026,109147013
5B02003307,109070018
5B02003307,109070019
5B02007584,109111016
